date,1. open,2. high,3. low,4. close,5. volume
2020-12-21 08:00:00,217.16,217.9,216.5,217.11,115679.0
2020-12-21 07:00:00,216.01,217.5,216.01,216.95,30323.0
2020-12-21 06:00:00,218.05,218.05,215.55,216.0,33812.0
2020-12-21 05:00:00,220.29,220.29,218.0,218.13,17659.0
2020-12-18 20:00:00,218.59,218.79,218.43,218.75,22343.0
2020-12-18 19:00:00,218.34,218.59,218.34,218.59,8683.0
2020-12-18 18:00:00,218.4998,218.7001,218.4,218.46,172557.0
2020-12-18 17:00:00,218.59,219.49,218.3129,218.5,6067725.0
2020-12-18 16:00:00,216.14,219.21,216.02,218.15,7674851.0
2020-12-18 15:00:00,217.54,217.62,216.05,216.14,3225066.0
2020-12-18 14:00:00,218.035,218.2,217.25,217.54,2104985.0
2020-12-18 13:00:00,218.14,218.56,217.89,218.035,2143291.0
2020-12-18 12:00:00,218.17,218.75,217.45,218.13,3141291.0
2020-12-18 11:00:00,218.17,218.275,216.97,218.145,4387620.0
2020-12-18 10:00:00,218.16,219.69,217.98,218.195,9095626.0
2020-12-18 09:00:00,218.59,219.42,218.0,218.16,261023.0
2020-12-18 08:00:00,218.37,218.78,218.0,218.06,91099.0
2020-12-18 07:00:00,218.5,218.84,218.33,218.5,35599.0
2020-12-18 06:00:00,218.85,219.13,218.03,218.48,10741.0
2020-12-18 05:00:00,219.38,219.4,219.0,219.0,1923.0
2020-12-17 20:00:00,218.4,218.5,218.01,218.5,12213.0
2020-12-17 19:00:00,218.25,218.73,218.14,218.4,30837.0
2020-12-17 18:00:00,219.31,219.3102,217.5,218.2,64741.0
2020-12-17 17:00:00,219.42,219.68,219.25,219.3602,3411345.0
2020-12-17 16:00:00,218.66,219.5,218.27,219.42,4158964.0
2020-12-17 15:00:00,219.32,219.35,218.48,218.66,2114207.0
2020-12-17 14:00:00,218.88,219.72,218.88,219.33,2449352.0
2020-12-17 13:00:00,218.6597,218.95,218.28,218.87,2147103.0
2020-12-17 12:00:00,218.13,218.66,217.92,218.65,3038654.0
2020-12-17 11:00:00,219.56,219.64,218.07,218.1379,5312333.0
2020-12-17 10:00:00,219.63,220.89,219.23,219.56,4683987.0
2020-12-17 09:00:00,219.8001,219.95,218.82,219.6862,61207.0
2020-12-17 08:00:00,219.86,220.0,219.64,219.9,43311.0
2020-12-17 07:00:00,220.12,220.3,219.7,219.74,8812.0
2020-12-17 06:00:00,220.62,220.62,220.2,220.2,1296.0
2020-12-17 05:00:00,219.9,220.73,219.9,220.71,3858.0
2020-12-16 20:00:00,219.35,219.46,219.16,219.22,11533.0
2020-12-16 19:00:00,219.3,219.5,219.29,219.38,10058.0
2020-12-16 18:00:00,219.14,219.72,219.05,219.2,18371.0
2020-12-16 17:00:00,219.28,219.44,218.9002,219.03,2158470.0
2020-12-16 16:00:00,219.76,220.11,219.0,219.19,5566041.0
2020-12-16 15:00:00,219.78,219.96,218.61,219.75,3525584.0
2020-12-16 14:00:00,218.8836,219.96,218.79,219.77,2686465.0
2020-12-16 13:00:00,219.19,219.35,218.42,218.9,3459727.0
2020-12-16 12:00:00,217.13,219.19,217.13,219.18,4132653.0
